2	 BroomfieldPD 2
3	 BroomfieldPD 3
4	 BroomfieldPD Rec
5	 BroomfieldPD Tac
6	 NorthMetro Disp
7	 NorthMetro Ops A
8	 Adams FD Disp
9	 Adams FD Ops A
10	 NorthMetro Admn
14	 Brighton PD 1
15	 Brighton PD 2
16	 Brighton PD 3
17	 Comrce City PD 1
18	 Comrce City PD 2
19	 Comrce City PD 3
20	 Northglenn PD 1
21	 Northglenn PD 2
22	 Northglenn PD 3
23	 Adams SO Disp
24	 Adams SO Car/Car
25	 Adams SO Tac
26	 FederalHts PD 1
27	 FederalHts PD 2
28	 Adams SO Records
29	 Thornton FD Disp
30	 Thornton FD OpsA
31	 Brighton FD Disp
32	 Brighton FD A
33	 Adams FD Ops B
34	 Adams FD Ops C
35	 South Adams FDis
36	 South Adams FD A
37	 FederalHts FD Ds
38	 FederalHts FD FG
43	 AdamsCo Techs 1
44	 AdamsCo Techs 2
45	 AdamsCo Techs 3
46	 WeldCo Rdo 1
47	 WeldCo Rdo 2
48	 WeldCo Rdo 3
53	 Adams Co MAC
54	 NorthMetro Ops B
55	 AdamsCo DA
56	 Adams SO Bennet
57	 AdamsCo FD MAC
65	 BroomfieldPD 1
73	 South Adams FD B
80	 South Adams FD C
107	 NorthMetro DTF
419	 FRCC Console Net
420	 NMAT 1
421	 NMAT 2
422	 NMAT 3
423	 NMAT 4
424	 SMAT 1
425	 SMAT 2
426	 SMAT 3
427	 SMAT 4
429	 NMAT 5
430	 NMAT 6
431	 NMAT 7
432	 NMAT 8
433	 NMAT 9
434	 WeldCo FrGnds
434	 NMAT 10
435	 NMAT 11
436	 NMAT 12
437	 NMAT 13
438	 NMAT 14
439	 NMAT 15
440	 NMAT 16
1399	 BroomfieldPD Evt
1400	 Broomfield DPW
1401	 Brommfield Jail
1900	 Greeley PD 1
1901	 Greeley PD 2
1902	 Greeley PD 3
1906	 Greeley PD Adm
1907	 WeldCo Fire Disp
1908	 WeldFG2 Grly
1909	 WeldFG3 Eaton
1910	 WeldFG4 Wndsr
1911	 WeldFG5 AltPc
1912	 GXY Airport Ops
1913	 WeldCo EMS Disp
1914	 WeldCo EMS Ops 1
1915	 WeldCo EMS Ops 2
1916	 WeldFG 23
1919	 WeldFG11 LaSl
1920	 WeldFG12 MtVw
1921	 WeldFG6 Evans
1922	 WeldFG7 Nunn
1923	 WeldFG8 FdFst
1924	 WeldFG9 Hudsn
1925	 WeldFG10 FtLp
1926	 Weld Inter 1
1927	 Weld Inter 2
1928	 Weld Inter 3
1930	 Weld SO Disp
1931	 Weld SO Tac 1
1932	 Weld SO Tac 2
1933	 WeldFG20 Pwne
1934	 Weld SO 4
1937	 WeldFG21 NwRmr
1938	 Weld LE North
1939	 Weld LE N Record
1940	 Weld LE Tac
1941	 WeldFG16 Mlkn
1942	 WeldFG17 Jntn
1943	 WeldFG18 Gltn
1944	 Weld SO Records
1945	 Weld LE S Record
1946	 Weld LE South
1947	 WeldCo ACU
1948	 Weld Inter 4
1949	 Weld Inter 5
1950	 Weld Inter 6
1951	 WeldCo Emg Ops 1
1952	 Firestone PD Tac
1953	 Univ NColo PD
1954	 Evans Loc Gov
1955	 WeldFG19 Brgs
1956	 WeldFG13 Ptvl
1957	 WeldFG14 SEWd
1958	 WeldFG15 PtVl
1959	 WldCo HSTrns
1960	 FtLupton PD 3
1961	 Keenesbrg School
1963	 WeldFG 22
1999	 Weld Invalid
2000	 Weld Co LE ATG
2001	 Greeley PD 7
2004	 Greeley PD 8
2008	 Evans FD Alert
2009	 F-F FPD Sta 1
2010	 F-F FPD Sta 2
2011	 F-F FPD Sta 3
2012	 F-F FPD Sta 4
2013	 FtLupton FD Sta1
2014	 FtLupton FD Sta2
2016	 Greeley FD Sta 2
2017	 Greeley FD Sta 1
2018	 WeldCo EMS 102
2019	 Greeley FD Sta 3
2020	 Greeley FD Sta 4
2021	 Greeley FD Sta 5
2022	 WeldCo EMS 107
2025	 Hudson FD Alert1
