DEC , HEX , Mode  , Alpha Tag, Description, Tag  , Group
2, 002, D, BroomfieldPD 2, Police 2 Car/Car , Law Tac , Broomfield County 
3, 003, D, BroomfieldPD 3, Police 3 Special Operations/Training , Law Tac , Broomfield County 
4, 004, D, BroomfieldPD Rec, Police Records , Law Tac , Broomfield County 
5, 005, D, BroomfieldPD Tac, Police Tactical , Law Tac , Broomfield County 
6, 006, D, NorthMetro Disp, Fire Dispatch , Fire Dispatch , North Metro Fire Rescue District 
7, 007, D, NorthMetro Ops A, Operations A , Fire-Tac , North Metro Fire Rescue District 
8, 008, D, Adams FD Disp, Fire Dispatch , Fire Dispatch , Adams County Fire Rescue  
9, 009, D, Adams FD Ops A, Fire Operations A , Fire-Tac , Adams County Fire Rescue  
10, 00a, D, NorthMetro Admn, Fire Administration , Fire-Tac , North Metro Fire Rescue District 
11, 00b, DE, Thornton PD 1, Police 1 Dispatch , Law Dispatch , Thornton 
12, 00c, DE, Thornton PD 2, Police 2 Car/Car , Law Tac , Thornton 
13, 00d, DE, Thornton PD 3, Police 3 , Law Tac , Thornton 
14, 00e, D, Brighton PD 1, Police 1 Dispatch , Law Dispatch , Brighton 
15, 00f, D, Brighton PD 2, Police 2 Car/Car , Law Tac , Brighton 
16, 010, D, Brighton PD 3, Police 3 , Law Tac , Brighton 
17, 011, D, Comrce City PD 1, Police 1 , Law Dispatch , Commerce City 
18, 012, D, Comrce City PD 2, Police 2 Car/Car , Law Tac , Commerce City 
19, 013, D, Comrce City PD 3, Police 3 , Law Tac , Commerce City 
20, 014, D, Northglenn PD 1, Police 1 Dispatch , Law Dispatch , Northglenn 
21, 015, D, Northglenn PD 2, Police 2 Car/Car , Law Tac , Northglenn 
22, 016, D, Northglenn PD 3, Police 3 , Law Tac , Northglenn 
23, 017, D, Adams SO Disp, Sheriff Dispatch , Law Dispatch , Adams County 
24, 018, D, Adams SO Car/Car, Sheriff Car/Car , Law Tac , Adams County 
25, 019, D, Adams SO Tac, Sheriff Tactical , Law Tac , Adams County 
26, 01a, D, FederalHts PD 1, Police 1 Dispatch , Law Dispatch , Federal Heights 
27, 01b, D, FederalHts PD 2, Police 2 Car/Car , Law Tac , Federal Heights 
28, 01c, D, Adams SO Records, Sheriff Records , Law Tac , Adams County 
29, 01d, D, Thornton FD Disp, Fire Dispatch , Fire Dispatch , Thornton 
30, 01e, D, Thornton FD OpsA, Fireground A , Fire-Tac , Thornton 
31, 01f, D, Brighton FD Disp, Fire Dispatch , Fire Dispatch , Brighton Fire Rescue District 
32, 020, D, Brighton FD A, Fire Ops A , Fire-Tac , Brighton Fire Rescue District 
33, 021, D, Adams FD Ops B, Fire Operations B , Fire-Tac , Adams County Fire Rescue  
34, 022, D, Adams FD Ops C, Fire Operations C , Fire-Tac , Adams County Fire Rescue  
35, 023, D, South Adams FDis, Fire Dispatch , Fire Dispatch , South Adams County Fire Protection District 
36, 024, D, South Adams FD A, Fire Operations A , Fire-Tac , South Adams County Fire Protection District 
37, 025, D, FederalHts FD Ds, Fire Dispatch , Fire Dispatch , Federal Heights 
38, 026, D, FederalHts FD FG, Fireground , Fire-Tac , Federal Heights 
43, 02b, D, AdamsCo Techs 1, Communications Technicians 1 , Public Works , Adams County 
44, 02c, D, AdamsCo Techs 2, Communications Technicians 2 , Public Works , Adams County 
45, 02d, D, AdamsCo Techs 3, Communications Technicians 3 , Public Works , Adams County 
46, 02e, D, WeldCo Rdo 1, Communications Techs 1 , Public Works , Weld County 
47, 02f, D, WeldCo Rdo 2, Communications Techs 2 , Public Works , Weld County 
48, 030, D, WeldCo Rdo 3, Communications Techs 3 , Public Works , Weld County 
53, 035, D, Adams Co MAC, County Mutual Aid Channel , Interop , Adams County 
54, 036, D, NorthMetro Ops B, Operations B , Fire-Tac , North Metro Fire Rescue District 
55, 037, D, AdamsCo DA, District Attorney's Office , Law Talk , Adams County 
56, 038, D, Adams SO Bennet, Sheriff Bennett , Law Dispatch , Adams County 
57, 039, D, AdamsCo FD MAC, Fire MAC Training (57) , Fire-Talk , Adams County 
65, 041, D, BroomfieldPD 1, Police 1 Dispatch , Law Dispatch , Broomfield County 
73, 049, D, South Adams FD B, Fire Operations B , Fire-Tac , South Adams County Fire Protection District 
80, 050, D, South Adams FD C, Fire Operations C , Fire-Tac , South Adams County Fire Protection District 
107, 06b, D, NorthMetro DTF, North Metro Drug Task Force , Law Tac , Adams County 
419, 1a3, D, FRCC Console Net, Console Communications Net , Interop , Mutual Aid 
420, 1a4, D, NMAT 1, North Mutual Aid 1 , Interop , Mutual Aid 
421, 1a5, D, NMAT 2, North Mutual Aid 2 , Interop , Mutual Aid 
422, 1a6, D, NMAT 3, North Mutual Aid 3 , Interop , Mutual Aid 
423, 1a7, D, NMAT 4, North Mutual Aid 4 , Interop , Mutual Aid 
424, 1a8, D, SMAT 1, South Mutual Aid 1 , Interop , Mutual Aid 
425, 1a9, D, SMAT 2, South Mutual Aid 2 , Interop , Mutual Aid 
426, 1aa, D, SMAT 3, South Mutual Aid 3 , Interop , Mutual Aid 
427, 1ab, D, SMAT 4, South Mutual Aid 4 , Interop , Mutual Aid 
429, 1ad, D, NMAT 5, North Mutual Aid 5 , Interop , Mutual Aid 
430, 1ae, D, NMAT 6, North Mutual Aid 6 , Interop , Mutual Aid 
431, 1af, D, NMAT 7, North Mutual Aid 7 , Interop , Mutual Aid 
432, 1b0, D, NMAT 8, North Mutual Aid 8 , Interop , Mutual Aid 
433, 1b1, D, NMAT 9, North Mutual Aid 9 , Interop , Mutual Aid 
434, 1b2, D, WeldCo FrGnds, County Fairgrounds , Public Works , Weld County 
434, 1b2, D, NMAT 10, North Mutual Aid 10 , Interop , Mutual Aid 
